700761,426356,99707,12295,13204839,410401,8173,61893,325797,22872,17909,16543,15805,1039738,23858,22415,1454,3387,6303,10880,10362633,7240948,4924,5520,76600,319265,25982,4343506,45445,3881158,43825,233769,220303,14027,96306,362290,89346,770138,5215,30002,27639,925802,152468,209548,147562,5510839,5830,2816099,53997,11604437,8488367,5751650,3833537,531714,4468940,23982,20404,290804,513828,2356766,2002216,890261,4443884,2144331,2134245,5076453,5289934,679907,2820057,57074,1746632,20556,11067141,2233453,20276,289112,3260113,5179410,5024275,60333,10094012,15629982,17455123,27288791,24125527,8300445,13890977,24765848,8003922,7849141,16222165,17480369,7469964,8825067,8614464,9644651,18167853,18796474,19230369,7972224
165578,16457,13748,14103,29134,14483,12671,12891,13594,12209,13402,11684,11311,20073,12007,12352,11876,13136,11390,11194,20735,24229,12692,22307,13392,12454,11331,15145,11383,12894,11434,11982,11609,11397,11404,11587,11821,160771,12852,11769,11808,17844,16669,58619,18317,19593,10874,13642,10908,19450,17098,19868,14419,11264,17544,14659,10250,11188,10546,15862,14084,10947,14638,13147,12414,19112,15054,12036,13626,10869,11585,11341,22860,14457,13779,11334,21335,15582,17999,10862,16667,18146,28860,30718,28651,26942,24080,27959,30960,25061,26273,27662,27072,27402,27015,27258,33393,26633,30012,24548
23616,21907,3024,1165,9271557,350319,6719,63598,274892,20881,17717,15247,15193,959500,22359,14856,1407,2721,5263,10369,10298660,5542235,4403,4426,60992,242040,17484,3578197,45083,2640459,40576,217632,155685,10690,75344,243095,57763,583532,3603,30131,18902,632619,113879,161115,133957,3629763,4990,2444546,38385,10908580,7965266,5206063,2971225,351035,3685821,21904,16350,278758,350763,2308942,1636337,739334,3716556,1851129,2036044,3622114,4160649,635149,2347732,46775,1609071,20678,10902816,1808971,23137,270064,2204648,3700073,4077387,62775,9830249,14221976,14362229,22807596,22381262,7706349,13630978,23187904,7710196,7357941,15159309,16093463,6847270,8210303,8120993,9171377,16968007,17935718,17648012,7263577
26494,11900,13423,9880,26128,12361,10335,10381,10535,12853,9796,9467,29550,10946,9572,9418,8911,9281,8628,8659,22638,18580,11131,9668,9784,12143,13754,18035,14533,12766,9632,10548,12385,11307,11456,10332,9527,15899,16037,9275,10258,10151,8904,8957,9245,12358,8040,10181,8704,20349,18243,17262,15783,18271,33378,9074,7585,8442,8043,9378,10509,8562,40828,15448,10069,20131,11734,10056,10951,8230,9617,8089,21183,19699,8007,8897,17376,11089,12252,8344,25346,18546,14366,15812,21033,14842,21159,22537,19639,14952,37085,18490,16981,17501,14429,16805,16789,19550,20087,14816
22855,20303,2793,1039,8451882,320290,6029,56262,254019,19052,16438,13801,13810,870523,21371,13883,1145,2460,4655,9901,10831109,5191341,3803,3923,76993,226114,16076,3476031,44211,2574858,39739,211380,169495,10240,73136,239051,57020,576282,3324,28773,18384,619137,112795,157172,130364,3580532,4463,2391872,44414,10534461,7788126,5207461,2993117,382019,3568605,20186,15511,263686,363944,2334792,1746961,813185,3887046,1820885,2054538,3400652,4156608,652821,2407343,45278,1589697,19192,10411316,1763340,21446,286845,2238859,3720251,4092331,60341,9784740,14207630,14154136,22956238,22617282,7731598,14175852,23981824,7481591,7502219,15299762,16146311,7019454,8181510,8285210,9281056,16886070,18085004,17554985,7170866
24117,8397,6699,6833,17433,8875,6073,6271,6860,6161,5971,5822,5389,7032,6155,6025,5391,5322,5460,5336,18694,12583,7139,6103,6135,18449,6519,11554,6295,8611,6380,6986,6509,5956,6243,6154,6003,22323,5987,5903,5887,7510,6269,6175,6350,13295,5862,8125,6594,24715,22863,26000,10625,7504,22631,7883,8544,8123,13216,25141,36942,12891,12637,12309,8252,13098,10951,7935,9470,5825,7148,8803,17854,14173,5809,7956,32774,11037,10659,6023,10710,12522,18238,18233,25901,40833,22068,19649,13315,13200,14195,13179,14770,13346,12600,13524,13766,33474,12945,11918
19558,18775,1887,342,8779422,326105,5091,56593,259404,18498,16123,12861,13735,881182,20537,13386,577,1917,4304,9539,10179993,5506829,2119,3352,58809,237850,16118,3590145,43167,2717501,39471,259468,154308,9748,74599,240443,58050,568276,2522,28831,18233,586219,119111,159605,133302,3549081,3449,2455996,36785,11675440,9339580,6211099,3957483,616346,4699932,31425,28052,338030,521359,2890753,2469781,1024617,4883616,2377500,2332962,4600651,5029897,649664,2471074,47518,1666042,20850,11787883,1875260,21539,289696,2316766,3783679,4275595,63898,10085627,15127207,14714308,25010600,26595545,9267015,15566118,24610072,7534464,7427577,15670709,16223920,7226573,8393233,8689897,9461619,17716498,18436647,18240215,7397275
17513,6227,4801,4249,17674,8433,4634,4906,5606,4764,4444,4271,4163,5759,4775,4683,4110,4017,3817,3934,20445,14316,4509,3988,4519,5303,4591,8483,4856,9351,4907,5773,5063,4416,4785,4879,4533,10949,4494,4174,4315,4813,5289,5004,5332,11354,5037,7819,5375,28362,28355,36930,27907,19952,25118,10801,9488,8311,8846,18174,19772,11665,21491,18538,20526,35961,25238,12865,19618,7133,10062,25045,30930,16400,5625,7263,19207,21637,32029,6434,23018,70536,33769,58146,36094,22670,10470,14280,8121,7231,8236,7570,6565,6749,9112,5412,6731,5748,7159,6270
29979,28643,3385,451,9369022,326919,4824,56069,260464,18279,15784,12623,13605,895985,20405,13095,437,1719,4131,9344,10062833,5435063,1945,3159,58776,257444,16068,3573119,42982,2609517,39528,211839,149787,9360,72247,251765,63942,568606,2480,28892,18201,594750,110927,155169,129367,3611618,3410,2579813,38298,11205303,8065549,5208774,2975228,350383,3552573,19629,14566,279303,339095,2261766,1576715,685487,3703040,1738289,1978664,3457987,3917429,612010,2291241,45080,1545102,19203,11636082,1936878,20991,289378,2387913,3849747,4476462,63425,10291207,14913986,15418075,24520685,23984158,8217102,14102744,23913215,8085137,7608100,15857623,16682848,7203256,8538219,8548088,9462932,17741932,18046335,17492087,7225963
10440,4934,2397,1803,6948,2907,1353,1299,1724,5113,1307,1429,1130,1845,1493,1253,1073,976,959,1115,4662,3819,1416,1146,1439,1749,1508,3012,1528,4100,1531,1834,1680,1410,1548,1694,1598,12712,1427,1424,1457,2004,1736,1870,1765,5017,1341,3716,1919,5917,4899,4853,3680,2830,3943,1727,1480,2247,2469,2314,2636,1957,4893,3041,2243,5423,3523,2367,3361,1902,2533,7615,11647,6957,2107,2992,17247,6280,7748,2430,6379,9571,14546,9403,10926,8000,6896,7491,29251,9623,8225,6175,5255,6650,13072,6179,9589,8056,7533,6151
